Synset_ID,POS,Arabic_Words,Num_Arabic_Words,English_Equivalent,Definition,Definition_Language,Examples,ILI,Accuracy_1_5,Completeness_1_5,Cultural_Appropriateness,Reviewer_Comments
omw-arb-00407215-r,r,"قوْمِيّا, وَطَنِيَّا",2,"nationally, nationwide, across the nation, across the country",extending throughout an entire nation,en,,i20932,,,,
omw-arb-00467496-r,r,"حالا, مُباشرة",2,straightway,in a direct course,en,,i21380,,,,
omw-arb-00101051-r,r,بعِيد,1,far,at or to or from a great distance in space,en,,i18771,,,,
omw-arb-00076681-r,r,سمْعِيّا,1,aurally,with regard to sound or the ear,en,,i18598,,,,
omw-arb-00309875-r,r,"على نحْوٍ ضارٍّ, بِشكْلٍ ضارّ, بِشكْلٍ مُؤْذٍ",3,"detrimentally, harmfully, noxiously",in a detrimental manner,en,,i20293,,,,
omw-arb-00124449-r,r,"بِشكْلٍ مُؤْذٍ, بِشكْلِ تجْرِيْحِي",2,injuriously,in an injurious manner,en,,i18937,,,,
omw-arb-00031606-r,r,"بعْد الآن, مِن الآن فصاعِداً",2,"anymore, any longer",at the present or from now on; usually used with a negative,en,,i18318,,,,
omw-arb-00130833-r,r,"لِسانِيّا, لُغوِيّا",2,"linguistically, lingually",with respect to language,en,,i18994,,,,
omw-arb-00076193-r,r,"ذهاباً و إِياباً, إِقْبالاً و إِدْباراً, جِيْئةً و  ذهاباً",3,"back and forth, backward and forward, to and fro",moving from one place to another and back again,en,,i18596,,,,
omw-arb-00116510-r,r,"معًا, مع بعْض, سوِيّةً",3,together,at the same time,en,,i18881,,,,
omw-arb-00213875-r,r,عَلَى نَحْو مُفِيد,1,"productively, fruitfully, profitably",in a productive way,en,,i19615,,,,
omw-arb-00078050-r,r,"بالمقْلُوب, بِالْعكْس, والعَكْسُ بالعَكْس",3,conversely,with the terms of the relation reversed,en,,i18608,,,,
omw-arb-00033421-r,r,"على الفوْر, حالاً, فوْراً, فِي الحال",4,"instantaneously, outright, instantly, in a flash",without any delay,en,,i18331,,,,
omw-arb-00239064-r,r,مشْياً,1,afoot,on foot; walking,en,,i19788,,,,
omw-arb-00054212-r,r,"بعْد ذلِك, بعْد ذلِك مُباشرة, بعْد هذا, بعْدها, فِي الْمرّة الْتالِية, ثُمَّ, ثُمَّ بَعْدَ ذَلِكَ",7,next,at the time or occasion immediately following,en,,i18458,,,,
omw-arb-00512691-r,r,"نعْتِيّا, وصْفِيَّا",2,adjectivally,as an adjective; in an adjectival manner,en,,i21738,,,,
omw-arb-00244043-r,r,"شمالاً, إِلى الشّمال, بِاتِّجاه الشّمال, نحْو الشّمال, نحْو جِهة الشّمال",5,"north, northerly, northwards, northward",in a northern direction,en,,i19821,,,,
omw-arb-00181342-r,r,"عِنْدما, حالما, حِيْن, فِي حِين, ما إِن",5,once,as soon as,en,,i19381,,,,
omw-arb-00325603-r,r,"بِشكْلٍ ترْبوِيٍّ, تعْلِيْمِيّاً, ترْبوِيّاً",3,educationally,in an educational manner,en,,i20389,,,,
omw-arb-00054636-r,r,آلِيَّاً,1,by machine,with the use of a machine,en,,i18462,,,,
omw-arb-00062330-r,r,"عمْدا, عن قصْد, مقْصُود, مُتعمّد, قصْدا",5,"intentionally, deliberately, designedly, on purpose, purposely",with intention; in an intentional manner,en,,i18514,,,,
omw-arb-00334870-r,r,"بِشكْلٍ مُعبِّر, تعْبِيْرِيّاً",2,expressively,with expression; in an expressive manner,en,,i20448,,,,
omw-arb-00128456-r,r,"شفهِيّا, حرْفِيّا, لفْظِيّا",3,verbally,by means of language,en,,i18972,,,,
omw-arb-00239908-r,r,"كُلّ, كُلّ واحِد, لِكُل واحِد, مِن كُل واحِد",4,"each, to each one, for each one, from each one, apiece",to or from every one of two or more (considered individually),en,,i19793,,,,
omw-arb-00479275-r,r,غداً,1,tomorrow,"the next day, the day after, following the present day",en,,i21466,,,,
omw-arb-00185567-r,r,عاطِفِيّا,1,emotionally,with regard to emotions,en,,i19410,,,,
omw-arb-00086000-r,r,مُسْرِع,1,fast,quickly or rapidly (often used as a combining form),en,,i18665,,,,
omw-arb-00123695-r,r,عِرْقِيّاً,1,ethnically,with respect to ethnicity,en,,i18930,,,,
omw-arb-00171322-r,r,"على الطّرِيِق, فِي الطّرٍيق",2,"on the way, en route",on a route to some place,en,,i19304,,,,
omw-arb-00104528-r,r,"على الأكْثر, على  أكْثر تقْدِير",2,"at most, at the most",not more than,en,,i18797,,,,
omw-arb-00147386-r,r,هائِل,1,such,to so extreme a degree,en,,i19129,,,,
omw-arb-00007884-r,r,نِصْف,1,half,partially or to the extent of a half,en,,i18196,,,,
omw-arb-00267435-r,r,"ظرْفِيّاً, كظرْف",2,adverbially,as an adverb,en,,i20008,,,,
omw-arb-00136469-r,r,"جِنْسِيّاً, تناسُلِيّاً",2,sexually,by sexual means,en,,i19044,,,,
omw-arb-00175919-r,r,"عكْسِيّا, تبادُلِيّا",2,"inversely, reciprocally",in an inverse or contrary manner,en,,i19341,,,,
omw-arb-00268651-r,r,"دلالةً, نعْتاً",2,attributively,in an attributive manner,en,,i20017,,,,
omw-arb-00502710-r,r,"بِشكْل خاص, بِطرِيقة خاصّة",2,"specially, especially",in a special manner,en,,i21657,,,,
omw-arb-00065294-r,r,"مرّتان, مرّتيْن",2,twice,two times,en,,i18532,,,,
omw-arb-00106921-r,r,"عادةً, بِشكْلٍ إِعْتِيادِيٍّ, بِشكْلٍ عادِي, غالِباً",4,"normally, usually, unremarkably, commonly, ordinarily",under normal conditions,en,,i18813,,,,
omw-arb-00505639-r,r,سببِيّا,1,causally,in a causal fashion,en,,i21679,,,,
omw-arb-00153681-r,r,"بِإِعْتِناء, بِاِهْتِمام, بِعِناية",3,"mindfully, heedfully, advertently",in a careful deliberate manner,en,,i19176,,,,
omw-arb-00138611-r,r,"على أغْلب الظّن, على الأرْجح, مِن المُحْتمل, مِن المُرجّح, مِن المُتوقّع, رُبّما",6,"probably, likely, in all likelihood, in all probability, belike",with considerable certainty; without much doubt,en,,i19060,,,,
omw-arb-00223859-r,r,بِعُنْف,1,violently,in a violent manner,en,,i19675,,,,
omw-arb-00080768-r,r,"بِحسب الإِتِّفاق, بِحسب العقْد, تعاقُدِيّاً",3,contractually,by virtue of a contract,en,,i18628,,,,
omw-arb-00025559-r,r,مكان ما,1,"somewhere, someplace",in or at or to some place,en,,i18290,,,,
omw-arb-00064361-r,r,لوْنِيّا,1,chromatically,with respect to color,en,,i18525,,,,
omw-arb-00129908-r,r,"على نحْوٍ بكْتِيْرِيّ, عن طرِيْقٍ الْبكْتِيْرْيا, عن طرِيْقٍ الجراثِيم, بكْتِيْرِيّاً, بِواسِطة البكْتِيْرْيا, جُرْثُوْمِيّاً",6,bacterially,by bacteria,en,,i18985,,,,
omw-arb-00411171-r,r,"عددِيّا, ",2,numerically,in number; with regard to numbers,en,,i20959,,,,
omw-arb-00304787-r,r,"طوال اليوْم, طُوِل اليوم",2,"daylong, all day long",during the entire day,en,,i20260,,,,
omw-arb-00336065-r,r,"كذِبا, خَطَأً, خِداعَا, زُورَاً",4,"falsely, incorrectly",in an incorrect manner,en,,i20455,,,,
