Issue_Type,ID,Details
Isolated_Synset,omw-arb-01188342-v,No relations
Isolated_Synset,omw-arb-02611112-a,No relations
Isolated_Synset,omw-arb-00254527-r,No relations
Isolated_Synset,omw-arb-02785757-a,No relations
Isolated_Synset,omw-arb-02823920-a,No relations
Isolated_Synset,omw-arb-00128456-r,No relations
Isolated_Synset,omw-arb-02936410-a,No relations
Isolated_Synset,omw-arb-01207149-v,No relations
Isolated_Synset,omw-arb-00244043-r,No relations
Isolated_Synset,omw-arb-02770629-a,No relations
Isolated_Synset,omw-arb-02836626-a,No relations
Isolated_Synset,omw-arb-00076193-r,No relations
Isolated_Synset,omw-arb-02653862-v,No relations
Isolated_Synset,omw-arb-02884619-a,No relations
Isolated_Synset,omw-arb-02868916-a,No relations
Isolated_Synset,omw-arb-02898750-a,No relations
Isolated_Synset,omw-arb-03048558-a,No relations
Isolated_Synset,omw-arb-02695966-a,No relations
Isolated_Synset,omw-arb-00419876-r,No relations
Isolated_Synset,omw-arb-03103815-a,No relations
Isolated_Synset,omw-arb-02904075-a,No relations
Isolated_Synset,omw-arb-02904223-a,No relations
Isolated_Synset,omw-arb-01189113-v,No relations
Isolated_Synset,omw-arb-03103198-a,No relations
Isolated_Synset,omw-arb-00126638-r,No relations
Isolated_Synset,omw-arb-00243938-r,No relations
Isolated_Synset,omw-arb-03003344-a,No relations
Isolated_Synset,omw-arb-02743261-a,No relations
Isolated_Synset,omw-arb-00142662-r,No relations
Isolated_Synset,omw-arb-02717538-a,No relations
Isolated_Synset,omw-arb-03005039-a,No relations
Isolated_Synset,omw-arb-02748952-a,No relations
Isolated_Synset,omw-arb-02957066-a,No relations
Isolated_Synset,omw-arb-00511573-r,No relations
Isolated_Synset,omw-arb-03003744-a,No relations
Isolated_Synset,omw-arb-01395330-a,No relations
Isolated_Synset,omw-arb-02317094-v,No relations
Isolated_Synset,omw-arb-00276225-r,No relations
Isolated_Synset,omw-arb-00080169-r,No relations
Isolated_Synset,omw-arb-01776952-v,No relations
Isolated_Synset,omw-arb-02665803-a,No relations
Isolated_Synset,omw-arb-01134238-v,No relations
Isolated_Synset,omw-arb-02830501-a,No relations
Isolated_Synset,omw-arb-00801626-v,No relations
Isolated_Synset,omw-arb-02599939-a,No relations
Isolated_Synset,omw-arb-02957469-a,No relations
Isolated_Synset,omw-arb-02927512-a,No relations
Isolated_Synset,omw-arb-02712443-v,No relations
Isolated_Synset,omw-arb-00554298-v,No relations
Isolated_Synset,omw-arb-01087835-v,No relations
Isolated_Synset,omw-arb-00417299-r,No relations
Isolated_Synset,omw-arb-00358342-r,No relations
Isolated_Synset,omw-arb-02965274-a,No relations
Isolated_Synset,omw-arb-02950264-a,No relations
Isolated_Synset,omw-arb-02968325-a,No relations
Isolated_Synset,omw-arb-00950431-v,No relations
Isolated_Synset,omw-arb-03102871-a,No relations
Isolated_Synset,omw-arb-02839695-a,No relations
Isolated_Synset,omw-arb-02986740-a,No relations
Isolated_Synset,omw-arb-00549771-v,No relations
Isolated_Synset,omw-arb-01927279-a,No relations
Isolated_Synset,omw-arb-00601581-v,No relations
Isolated_Synset,omw-arb-02743391-a,No relations
Isolated_Synset,omw-arb-01213146-v,No relations
Isolated_Synset,omw-arb-02716605-a,No relations
Isolated_Synset,omw-arb-02614945-a,No relations
Isolated_Synset,omw-arb-02523221-v,No relations
Isolated_Synset,omw-arb-01083044-v,No relations
Isolated_Synset,omw-arb-00018158-v,No relations
Isolated_Synset,omw-arb-02940392-a,No relations
Isolated_Synset,omw-arb-00197182-r,No relations
Isolated_Synset,omw-arb-02804590-a,No relations
Isolated_Synset,omw-arb-02983577-a,No relations
Isolated_Synset,omw-arb-00185567-r,No relations
Isolated_Synset,omw-arb-00106921-r,No relations
Isolated_Synset,omw-arb-02607909-a,No relations
Isolated_Synset,omw-arb-02940759-a,No relations
Isolated_Synset,omw-arb-03013231-a,No relations
Isolated_Synset,omw-arb-02882570-a,No relations
Isolated_Synset,omw-arb-03138664-a,No relations
Isolated_Synset,omw-arb-03138224-a,No relations
Isolated_Synset,omw-arb-02769933-a,No relations
Isolated_Synset,omw-arb-00411171-r,No relations
Isolated_Synset,omw-arb-00175919-r,No relations
Isolated_Synset,omw-arb-00267321-r,No relations
Isolated_Synset,omw-arb-00138611-r,No relations
Isolated_Synset,omw-arb-00104345-r,No relations
Isolated_Synset,omw-arb-00171322-r,No relations
Isolated_Synset,omw-arb-00233687-r,No relations
Isolated_Synset,omw-arb-00033421-r,No relations
Isolated_Synset,omw-arb-00048739-r,No relations
Isolated_Synset,omw-arb-00309875-r,No relations
Isolated_Synset,omw-arb-00136663-r,No relations
Isolated_Synset,omw-arb-00309515-r,No relations
Isolated_Synset,omw-arb-00129908-r,No relations
Isolated_Synset,omw-arb-00062330-r,No relations
Isolated_Synset,omw-arb-00358516-r,No relations
Isolated_Synset,omw-arb-00228724-r,No relations
Isolated_Synset,omw-arb-02764251-a,No relations
Isolated_Synset,omw-arb-02869563-a,No relations
Isolated_Synset,omw-arb-02621853-v,No relations
Isolated_Synset,omw-arb-02914213-a,No relations
Isolated_Synset,omw-arb-00127866-r,No relations
Isolated_Synset,omw-arb-02793273-a,No relations
Isolated_Synset,omw-arb-00181342-r,No relations
Isolated_Synset,omw-arb-00123695-r,No relations
Isolated_Synset,omw-arb-00104528-r,No relations
Isolated_Synset,omw-arb-02986509-a,No relations
Isolated_Synset,omw-arb-02719395-a,No relations
Isolated_Synset,omw-arb-00467496-r,No relations
Isolated_Synset,omw-arb-02832164-a,No relations
Isolated_Synset,omw-arb-00685419-v,No relations
Isolated_Synset,omw-arb-00732552-v,No relations
Isolated_Synset,omw-arb-02865172-a,No relations
Isolated_Synset,omw-arb-02985474-a,No relations
Isolated_Synset,omw-arb-00118253-r,No relations
Isolated_Synset,omw-arb-00037226-r,No relations
Isolated_Synset,omw-arb-02675446-a,No relations
Isolated_Synset,omw-arb-02814453-a,No relations
Isolated_Synset,omw-arb-00044262-r,No relations
Isolated_Synset,omw-arb-03002724-a,No relations
Isolated_Synset,omw-arb-02891444-a,No relations
Isolated_Synset,omw-arb-02756129-a,No relations
Isolated_Synset,omw-arb-02841066-a,No relations
Isolated_Synset,omw-arb-00130549-r,No relations
Isolated_Synset,omw-arb-02796425-a,No relations
Isolated_Synset,omw-arb-02248465-v,No relations
Isolated_Synset,omw-arb-01041061-v,No relations
Isolated_Synset,omw-arb-02748635-a,No relations
Isolated_Synset,omw-arb-02996239-a,No relations
Isolated_Synset,omw-arb-02707659-a,No relations
Isolated_Synset,omw-arb-00304787-r,No relations
Isolated_Synset,omw-arb-02760116-a,No relations
Isolated_Synset,omw-arb-02832586-a,No relations
Isolated_Synset,omw-arb-00935141-v,No relations
Isolated_Synset,omw-arb-02936235-a,No relations
Isolated_Synset,omw-arb-00267435-r,No relations
Isolated_Synset,omw-arb-00059854-r,No relations
Isolated_Synset,omw-arb-00405868-r,No relations
Isolated_Synset,omw-arb-00078050-r,No relations
Isolated_Synset,omw-arb-00101051-r,No relations
Isolated_Synset,omw-arb-00117620-r,No relations
Isolated_Synset,omw-arb-00054212-r,No relations
Isolated_Synset,omw-arb-00031606-r,No relations
Isolated_Synset,omw-arb-00356412-r,No relations
Isolated_Synset,omw-arb-00415743-v,No relations
Isolated_Synset,omw-arb-02657741-a,No relations
Isolated_Synset,omw-arb-02833544-a,No relations
Isolated_Synset,omw-arb-02697452-a,No relations
Isolated_Synset,omw-arb-03022177-a,No relations
Isolated_Synset,omw-arb-02831979-a,No relations
Isolated_Synset,omw-arb-00414750-r,No relations
Isolated_Synset,omw-arb-00415058-r,No relations
Isolated_Synset,omw-arb-00124449-r,No relations
Isolated_Synset,omw-arb-00334870-r,No relations
Isolated_Synset,omw-arb-00436676-r,No relations
Isolated_Synset,omw-arb-00325603-r,No relations
Isolated_Synset,omw-arb-00380590-r,No relations
Isolated_Synset,omw-arb-00502710-r,No relations
Isolated_Synset,omw-arb-00084223-r,No relations
Isolated_Synset,omw-arb-00468447-r,No relations
Isolated_Synset,omw-arb-00506216-r,No relations
Isolated_Synset,omw-arb-00153681-r,No relations
Isolated_Synset,omw-arb-00223859-r,No relations
Isolated_Synset,omw-arb-00080768-r,No relations
Isolated_Synset,omw-arb-00073546-r,No relations
Isolated_Synset,omw-arb-00436088-r,No relations
Isolated_Synset,omw-arb-02885192-a,No relations
Isolated_Synset,omw-arb-00608808-v,No relations
Isolated_Synset,omw-arb-02974615-a,No relations
Isolated_Synset,omw-arb-02991122-a,No relations
Isolated_Synset,omw-arb-03010664-a,No relations
Isolated_Synset,omw-arb-00913454-a,No relations
Isolated_Synset,omw-arb-02880201-a,No relations
Isolated_Synset,omw-arb-02823724-a,No relations
Isolated_Synset,omw-arb-00060197-r,No relations
Isolated_Synset,omw-arb-02949082-a,No relations
Isolated_Synset,omw-arb-03129222-a,No relations
Isolated_Synset,omw-arb-02832678-a,No relations
Isolated_Synset,omw-arb-00479275-r,No relations
Isolated_Synset,omw-arb-00471072-a,No relations
Isolated_Synset,omw-arb-03069238-a,No relations
Isolated_Synset,omw-arb-00079499-r,No relations
Isolated_Synset,omw-arb-03060385-a,No relations
Isolated_Synset,omw-arb-02935725-a,No relations
Isolated_Synset,omw-arb-02881888-a,No relations
Isolated_Synset,omw-arb-02934744-a,No relations
Isolated_Synset,omw-arb-00595505-v,No relations
Isolated_Synset,omw-arb-02750483-a,No relations
Isolated_Synset,omw-arb-02887578-a,No relations
Isolated_Synset,omw-arb-00136469-r,No relations
Isolated_Synset,omw-arb-02995373-a,No relations
Isolated_Synset,omw-arb-02991690-a,No relations
Isolated_Synset,omw-arb-02900700-a,No relations
Isolated_Synset,omw-arb-00336065-r,No relations
Isolated_Synset,omw-arb-02920951-a,No relations
Isolated_Synset,omw-arb-02826701-a,No relations
Isolated_Synset,omw-arb-02977198-a,No relations
Isolated_Synset,omw-arb-02692624-a,No relations
Isolated_Synset,omw-arb-00239908-r,No relations
Isolated_Synset,omw-arb-02900081-a,No relations
Isolated_Synset,omw-arb-02680580-a,No relations
Isolated_Synset,omw-arb-00024073-r,No relations
Isolated_Synset,omw-arb-00031304-r,No relations
Isolated_Synset,omw-arb-00025464-r,No relations
Isolated_Synset,omw-arb-02907000-a,No relations
Isolated_Synset,omw-arb-02937108-a,No relations
Isolated_Synset,omw-arb-00198403-r,No relations
Isolated_Synset,omw-arb-02869097-a,No relations
Isolated_Synset,omw-arb-00064361-r,No relations
Isolated_Synset,omw-arb-02842445-a,No relations
Isolated_Synset,omw-arb-00130833-r,No relations
Isolated_Synset,omw-arb-02994617-a,No relations
Isolated_Synset,omw-arb-00392531-r,No relations
Isolated_Synset,omw-arb-00239064-r,No relations
Isolated_Synset,omw-arb-03154886-a,No relations
Isolated_Synset,omw-arb-02847894-a,No relations
Isolated_Synset,omw-arb-02860919-a,No relations
Isolated_Synset,omw-arb-02636461-a,No relations
Isolated_Synset,omw-arb-00116510-r,No relations
Isolated_Synset,omw-arb-03086974-a,No relations
Isolated_Synset,omw-arb-00470930-a,No relations
Isolated_Synset,omw-arb-01965287-a,No relations
Isolated_Synset,omw-arb-02697329-a,No relations
Isolated_Synset,omw-arb-03124541-a,No relations
Isolated_Synset,omw-arb-00127339-r,No relations
Isolated_Synset,omw-arb-00065294-r,No relations
Isolated_Synset,omw-arb-02640503-a,No relations
Isolated_Synset,omw-arb-02782715-a,No relations
Isolated_Synset,omw-arb-02950471-a,No relations
Isolated_Synset,omw-arb-00275127-r,No relations
Isolated_Synset,omw-arb-02894591-a,No relations
Isolated_Synset,omw-arb-02984781-a,No relations
Isolated_Synset,omw-arb-02898276-a,No relations
Isolated_Synset,omw-arb-03138545-a,No relations
Isolated_Synset,omw-arb-02886629-a,No relations
Isolated_Synset,omw-arb-00656862-a,No relations
Isolated_Synset,omw-arb-00297741-r,No relations
Isolated_Synset,omw-arb-01418288-a,No relations
Isolated_Synset,omw-arb-03002617-a,No relations
Isolated_Synset,omw-arb-02990954-a,No relations
Isolated_Synset,omw-arb-00085811-r,No relations
Isolated_Synset,omw-arb-00086000-r,No relations
Isolated_Synset,omw-arb-02623529-a,No relations
Isolated_Synset,omw-arb-03123695-a,No relations
Isolated_Synset,omw-arb-02846927-a,No relations
Isolated_Synset,omw-arb-00103761-r,No relations
Isolated_Synset,omw-arb-00405269-r,No relations
Isolated_Synset,omw-arb-02867783-a,No relations
Isolated_Synset,omw-arb-03070879-a,No relations
Isolated_Synset,omw-arb-00275035-r,No relations
Isolated_Synset,omw-arb-02936020-a,No relations
Isolated_Synset,omw-arb-00512691-r,No relations
Isolated_Synset,omw-arb-02925879-a,No relations
Isolated_Synset,omw-arb-02833235-a,No relations
Isolated_Synset,omw-arb-00560247-v,No relations
Isolated_Synset,omw-arb-00007884-r,No relations
Isolated_Synset,omw-arb-02886090-a,No relations
Isolated_Synset,omw-arb-02494716-a,No relations
Isolated_Synset,omw-arb-00071321-r,No relations
Isolated_Synset,omw-arb-02988060-a,No relations
Isolated_Synset,omw-arb-00135667-r,No relations
Isolated_Synset,omw-arb-00407215-r,No relations
Isolated_Synset,omw-arb-02992241-a,No relations
Isolated_Synset,omw-arb-02932081-a,No relations
Isolated_Synset,omw-arb-02801749-a,No relations
Isolated_Synset,omw-arb-02801839-a,No relations
Isolated_Synset,omw-arb-02957276-a,No relations
Isolated_Synset,omw-arb-00505639-r,No relations
Isolated_Synset,omw-arb-00485044-a,No relations
Isolated_Synset,omw-arb-02832382-a,No relations
Isolated_Synset,omw-arb-02868704-a,No relations
Isolated_Synset,omw-arb-00076681-r,No relations
Isolated_Synset,omw-arb-02885529-a,No relations
Isolated_Synset,omw-arb-02857407-a,No relations
Isolated_Synset,omw-arb-02696795-a,No relations
Isolated_Synset,omw-arb-02975538-a,No relations
Isolated_Synset,omw-arb-02920121-a,No relations
Isolated_Synset,omw-arb-02702656-a,No relations
Isolated_Synset,omw-arb-02997740-a,No relations
Isolated_Synset,omw-arb-02946221-a,No relations
Isolated_Synset,omw-arb-03018802-a,No relations
Isolated_Synset,omw-arb-02740745-v,No relations
Isolated_Synset,omw-arb-00594058-v,No relations
Isolated_Synset,omw-arb-03110322-a,No relations
Isolated_Synset,omw-arb-02956371-a,No relations
Isolated_Synset,omw-arb-02832272-a,No relations
Isolated_Synset,omw-arb-00213875-r,No relations
Isolated_Synset,omw-arb-03060114-a,No relations
Isolated_Synset,omw-arb-02982729-a,No relations
Isolated_Synset,omw-arb-02767378-a,No relations
Isolated_Synset,omw-arb-02288828-v,No relations
Isolated_Synset,omw-arb-03014166-a,No relations
Isolated_Synset,omw-arb-00189401-r,No relations
Isolated_Synset,omw-arb-02832458-a,No relations
Isolated_Synset,omw-arb-02930616-a,No relations
Isolated_Synset,omw-arb-00913387-a,No relations
Isolated_Synset,omw-arb-00054636-r,No relations
