Synset_ID,POS,Arabic_Words,English_Words,Definition,Definition_Lang,ILI,Accuracy_Rating,Comments
omw-arb-10477077-n,Noun,مُلاكِم مُحْتَرِف,"prizefighter, gladiator",a professional boxer,en,i92263,,
omw-arb-14492373-n,Noun,"بذْخ, فخامة, رفاهِيّة, ترف, ثراء","luxury, luxuriousness, opulence, sumptuousness",wealth as evidenced by sumptuous living,en,i113162,,
omw-arb-02274259-n,Noun,فراشة,butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,en,i47485,,
omw-arb-05021884-n,Noun,"لدانة, لُدُونة, مُطاوعة, قابِلِيّة الطرْق","malleability, plasticity",the property of being physically malleable; the property of something that can be worked or hammered,en,i63390,,
omw-arb-07343363-n,Noun,"عوْدة, تِكْرار","recurrence, return",happening again (especially at regular intervals),en,i75280,,
omw-arb-11747468-n,Noun,"بَقْل, بُقُول, نَبات بَقْلِيّ","legume, leguminous plant",an erect or climbing bean or pea plant of the family Leguminosae,en,i99060,,
omw-arb-08860123-n,Noun,"الممْلكة المُتّحِدة, برِيطانْيا, برِيطانْيا العُظْمى","United Kingdom, UK, U.K., Britain, United Kingdom of Great Britain and Northern Ireland",a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scot,en,i83373,,
omw-arb-00043902-n,Noun,ضرْبة,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),en,i35638,,
omw-arb-08848421-n,Noun,"البحْريْن, جزِيرة البحْريْن","Bahrain, Bahrain Island, Bahrein, Bahrein Island",an island in the Persian Gulf,en,i83323,,
omw-arb-02691156-n,Noun,"طائِرة, مرْكبة جوِّيّة","airplane, aeroplane, plane",an aircraft that has a fixed wing and is powered by propellers or jets,en,i49901,,
omw-arb-08438223-n,Noun,"أجمة, أيْكة, خَمِيلَة","scrub, chaparral, bush",dense vegetation consisting of stunted trees or bushes,en,i81464,,
omw-arb-03496892-n,Noun,حصّادة,"harvester, reaper",farm machine that gathers a food crop from the fields,en,i54669,,
omw-arb-13259917-n,Noun,"فائِدة, كسْب, رِبْح","winnings, win, profits",something won (especially money),en,i106333,,
omw-arb-07520411-n,Noun,رُعْب,horror,intense and profound fear,en,i76273,,
omw-arb-08169573-n,Noun,ألْمانيا,Reich,the German state,en,i80080,,
omw-arb-00364260-n,Noun,"اِرْتِفاع, اِزْدِياد, تصاعُد","advance, rise",increase in price or value,en,i37326,,
omw-arb-11515051-n,Noun,"شدّ, توتُّر",tension,(physics) a stress that produces an elongation of an elastic physical body,en,i98111,,
omw-arb-07609840-n,Noun,حلْوى,"dessert, sweet, afters",a dish served as the last course of a meal,en,i76811,,
omw-arb-08293982-n,Noun,"إنْحِياز, اِتِّحاد, اِئْتِلاف, حِلْف","alliance, coalition, alignment, alinement",an organization of people (or countries) involved in a pact or treaty,en,i80729,,
omw-arb-11629501-n,Noun,"فصِيلة السّرْو, سرْو","Cupressaceae, family Cupressaceae, cypress family",cypresses and junipers and many cedars,en,i98489,,
omw-arb-00543233-n,Noun,مُوسِيقى,music,musical activity (singing or whistling etc.),en,i38249,,
omw-arb-11590783-n,Noun,فصِيلة الفِطْرِيّات,fungus family,includes lichen families,en,i98327,,
omw-arb-13627516-n,Noun,كِيلُو بايْت,"kilobyte, kibibyte, K, KB, kB",a unit of information equal to 1024 bytes,en,i108305,,
omw-arb-13852395-n,Noun,مِيزان حرارة,temperature scale,a system of measuring temperature,en,i109720,,
omw-arb-07296190-n,Noun,حدث مُتكرِّر,"periodic event, recurrent event",an event that recurs at intervals,en,i75035,,
omw-arb-00591755-v,Verb,اِتّضح,"click, get through, dawn, come home, get across",become clear or enter one's consciousness or emotions,en,i24722,,
omw-arb-00606093-v,Verb,"تمرّن, أبدى, أدى الشعائر الدينية, أدى تمارين, إستغل كذا","drill, exercise, practice, practise",learn by repetition,en,i24790,,
omw-arb-00897564-v,Verb,خَاطَبَ,"address, turn to",speak to,en,i26102,,
omw-arb-00053159-v,Verb,"أخْصب, حبّل, لقّح, خَصَّبَ","impregnate, knock up, bang up, prang up",make pregnant,en,i22038,,
omw-arb-00421691-v,Verb,"اِخْتفى, تلاشى, أضعف, أعد, أقر ب","evanesce, fade, blow over, pass off, fleet",disappear gradually,en,i23834,,
omw-arb-00866314-v,Verb,"شتم, دعا على, لعن, قذع, سبّ",curse,heap obscenities upon,en,i25958,,
omw-arb-02674564-v,Verb,"برز, أشتم, إنتقل بسرعة, استولى, انحرف","leap out, jump out, jump, stand out, stick out",be highly noticeable,en,i35034,,
omw-arb-00940384-v,Verb,"أعْرب, عبّر, لفظ, تفوّه, تلفّظ","express, verbalize, verbalise, utter, give tongue to","articulate; either verbally or with a cry, shout, or noise",en,i26308,,
omw-arb-02492198-v,Verb,"أمْتع, سلّى, إستقبل بترحاب, استضاف, استمتع",entertain,provide entertainment for,en,i34182,,
omw-arb-00643473-v,Verb,"شرّح, حلّل, درس, فحص, حلل","analyze, analyse, break down, dissect, take apart","make a mathematical, chemical, or grammatical analysis of; break down into components or essential f",en,i24953,,
omw-arb-00591115-v,Verb,"أدْرك, فهِم, تيقّن, أدرك, حقق","understand, realize, realise, see",perceive (an idea or situation) mentally,en,i24720,,
omw-arb-02504562-v,Verb,"أجْبر, أكْره, ضغط, غصب, أجبر على الطاعة","coerce, hale, squeeze, pressure, force","to cause to do through pressure or necessity, by physical, moral or intellectual means",en,i34239,,
omw-arb-02708420-v,Verb,"أمْضى, قضى, أعد, أقر ب, ألغى إعلان","spend, pass",pass time in a specific way,en,i35203,,
omw-arb-00147815-v,Verb,"هوى, سقط, وَقَع",fall,pass suddenly and passively into a state of body or mind,en,i22451,,
omw-arb-00281101-v,Verb,"غيّر اللّوْن, شوه, صبغ, لون","discolor, discolour, colour, color","change color, often in an undesired manner",en,i23123,,
omw-arb-00608808-v,Verb,فكّر,think,be capable of conscious thought,en,i24803,,
omw-arb-00541163-v,Verb,"مدّد, وَسَّعَ",expand,"make bigger or wider in size, volume, or quantity",en,i24440,,
omw-arb-01901783-v,Verb,"تذبْذب, تموّج, تموج, رفرف, موج","roll, undulate, flap, wave",move in a wavy pattern or with a rising and falling motion,en,i31229,,
omw-arb-02740745-v,Verb,تبقّى,have,be confronted with,en,i35373,,
omw-arb-02595840-v,Verb,اِسْتراح,rest,"be inactive, refrain from acting",en,i34665,,
omw-arb-01088381-v,Verb,"اِسْتنْفر, عبّأ, تحرّك","mobilize, mobilise",get ready for war,en,i27035,,
omw-arb-00829947-v,Verb,"أرْشد, نصح",mentor,serve as a teacher or trusted counselor,en,i25802,,
omw-arb-02628961-v,Verb,"كلّف, قدر, كلف",cost,"require to lose, suffer, or sacrifice",en,i34816,,
omw-arb-02183175-v,Verb,"أطلق بصوت عالي, أعلن, بوق, دوى, زمر","honk, blare, beep, claxon, toot",make a loud noise,en,i32669,,
omw-arb-02296726-v,Verb,"عرض, قدّم",offer,"make available or accessible, provide or furnish",en,i33214,,
omw-arb-02936020-a,Adjective,نعْتِي,"adjectival, adjective",of or relating to or functioning as an adjective,en,i16732,,
omw-arb-02100031-a,Adjective,"أكْبر, كُبْرى","elder, older, sr.",used of the older of two persons of the same name especially used to distinguish a father from his s,en,i11511,,
omw-arb-02743261-a,Adjective,إِنْسانِي,human,characteristic of humanity,en,i15444,,
omw-arb-00692762-a,Adjective,عمِيق,deep,relatively deep or strong; affecting one deeply,en,i3855,,
omw-arb-00442361-a,Adjective,بعِيد,far,located at a great distance in time or space or degree,en,i2492,,
omw-arb-01600333-a,Adjective,شمالِيّ,north,situated in or facing or moving toward or coming from the north,en,i8756,,
omw-arb-03154886-a,Adjective,"مأمُول, منْشُود, مُتوخّى",sought,that is looked for,en,i18153,,
omw-arb-02832586-a,Adjective,طُحْلُبِيّ,algal,of or relating to alga,en,i16068,,
omw-arb-02510273-a,Adjective,لافقارِيّ,"invertebrate, spineless",lacking a backbone or spinal column,en,i13922,,
omw-arb-00289082-a,Adjective,"مكْسُور, مُحطّم",broken,physically and forcibly separated into pieces or cracked or split,en,i1605,,
omw-arb-02940759-a,Adjective,عائِلِيّ,familial,relating to or having the characteristics of a family,en,i16765,,
omw-arb-00518164-a,Adjective,مُلْتزِم,committed,"bound or obligated, as under a pledge to a particular cause, action, or attitude",en,i2909,,
omw-arb-01190683-a,Adjective,"شدِيد, ضخْم, ثقِيل, وَافِر, زَائِد الوَزْن",heavy,unusually great in degree or quantity or number,en,i6512,,
omw-arb-02930616-a,Adjective,زَاوِيّ,angular,measured by an angle or by the rate of change of an angle,en,i16690,,
omw-arb-01593649-a,Adjective,"عادِيّ, طبِيعِيّ, نِظامِيّ, قِياسِيّ",normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,en,i8725,,
omw-arb-01391351-a,Adjective,"دقِيق, مِجْهرِي","small, little",limited or below average in number or quantity or magnitude or extent,en,i7579,,
omw-arb-00913454-a,Adjective,فرْدِي,"odd, uneven",not divisible by two,en,i5000,,
omw-arb-02992241-a,Adjective,قِرْدِيّ,simian,relating to or resembling an ape,en,i17088,,
omw-arb-01928608-a,Adjective,"مُتفاعِل, تفاعُلِيّ",reactive,participating readily in reactions,en,i10576,,
omw-arb-01660267-a,Adjective,"جاهِز لِلْعمل, مُعد لِلْتنْفِيذ, مُعد لِلْعملِيّات الحرْبِيّة, تشْغِيلِي",operational,(military) of or intended for or involved in military operations,en,i9106,,
omw-arb-02996239-a,Adjective,"طبِيْعِي, مألُوف",normative,relating to or dealing with norms,en,i17116,,
omw-arb-00679147-a,Adjective,"معْطُوب, مُتضرِّر, تالِف",damaged,harmed or injured or spoiled,en,i3783,,
omw-arb-02657741-a,Adjective,"بكْتِيرِي, جُرْثُومِي","bacteroidal, bacteroid, bacterioidal, bacterioid",resembling bacteria,en,i14846,,
omw-arb-01105620-a,Adjective,لانوْعِيّ,nonspecific,not caused by a specific agent; used also of staining in making microscope slides,en,i6077,,
omw-arb-00031974-a,Adjective,نشِط,active,characterized by energetic activity,en,i156,,
omw-arb-00153681-r,Adverb,"بِإِعْتِناء, بِاِهْتِمام, بِعِناية","mindfully, heedfully, advertently",in a careful deliberate manner,en,i19176,,
omw-arb-00106921-r,Adverb,"عادةً, بِشكْلٍ إِعْتِيادِيٍّ, بِشكْلٍ عادِي, غالِباً","normally, usually, unremarkably, commonly, ordinarily",under normal conditions,en,i18813,,
omw-arb-00185567-r,Adverb,عاطِفِيّا,emotionally,with regard to emotions,en,i19410,,
omw-arb-00297741-r,Adverb,"مُبلّلاً, رطِباً","damply, moistly",in a damp manner,en,i20215,,
omw-arb-00405269-r,Adverb,مُوسِيْقِيّاً,musically,in a musical manner,en,i20921,,
omw-arb-00025464-r,Adverb,لا مكان,nowhere,not anywhere; in or at or to no place,en,i18289,,
omw-arb-00325603-r,Adverb,"بِشكْلٍ ترْبوِيٍّ, تعْلِيْمِيّاً, ترْبوِيّاً",educationally,in an educational manner,en,i20389,,
omw-arb-00129908-r,Adverb,"على نحْوٍ بكْتِيْرِيّ, عن طرِيْقٍ الْبكْتِيْرْيا, عن طرِيْقٍ الجراثِيم, بكْتِيْرِيّاً, بِواسِطة البكْتِيْرْيا",bacterially,by bacteria,en,i18985,,
omw-arb-00024073-r,Adverb,"لا, ليْس","not, non",negation of a word or group of words,en,i18280,,
omw-arb-00079499-r,Adverb,هذِهِ اللّيْلة,"tonight, this evening, this night",during the night of the present day,en,i18618,,
omw-arb-00054636-r,Adverb,آلِيَّاً,by machine,with the use of a machine,en,i18462,,
omw-arb-00267435-r,Adverb,"ظرْفِيّاً, كظرْف",adverbially,as an adverb,en,i20008,,
omw-arb-00124449-r,Adverb,"بِشكْلٍ مُؤْذٍ, بِشكْلِ تجْرِيْحِي",injuriously,in an injurious manner,en,i18937,,
omw-arb-00104528-r,Adverb,"على الأكْثر, على  أكْثر تقْدِير","at most, at the most",not more than,en,i18797,,
omw-arb-00334870-r,Adverb,"بِشكْلٍ مُعبِّر, تعْبِيْرِيّاً",expressively,with expression; in an expressive manner,en,i20448,,
omw-arb-00147386-r,Adverb,هائِل,such,to so extreme a degree,en,i19129,,
omw-arb-00136663-r,Adverb,"على نحْوٍ مُفْرداتِي, على نحْوٍ قاموسِيّ, بِشكْلٍ مُعْجمِيّ, مُعْجمِيّا, قامُوسِيّاً",lexically,by means of words,en,i19046,,
omw-arb-00223859-r,Adverb,بِعُنْف,violently,in a violent manner,en,i19675,,
omw-arb-00276225-r,Adverb,"أعْلى, فِي أعْلى",atop,"on, to, or at the top",en,i20075,,
omw-arb-00033421-r,Adverb,"على الفوْر, حالاً, فوْراً, فِي الحال","instantaneously, outright, instantly, in a flash",without any delay,en,i18331,,
omw-arb-00130549-r,Adverb,"حيِّزِيّاً, فضائِيّاً, مكانِيّاً",spatially,with regard to space,en,i18991,,
omw-arb-00407215-r,Adverb,"قوْمِيّا, وَطَنِيَّا","nationally, nationwide, across the nation, across the country",extending throughout an entire nation,en,i20932,,
omw-arb-00468447-r,Adverb,بِذلِك,therewith,with that or this or it,en,i21389,,
omw-arb-00405868-r,Adverb,فِي مُقابِل,"in return, reciprocally",(often followed by `for') in exchange or in reciprocation,en,i20925,,
omw-arb-00254527-r,Adverb,"شبِيه بِالموْت, مُمِيت",deathly,to a degree resembling death,en,i19904,,
